Journal Title,ISSN,Rank,Field
Journal of Ethnic and Migration Studies,1369-183X,2,SOC SCI
Journal of Industrial Ecology,1088-1980,2,SOC SCI
Journal of Law and Society,0263-323X,2,SOC SCI
Journal of Risk Research,1366-9877,2,SOC SCI
Kyklos,0023-5962,2,SOC SCI
Land Use Policy,0264-8377,2,SOC SCI
Parliamentary Affairs,0031-2290,2,SOC SCI
Political Quarterly,0032-3179,2,SOC SCI
Political Studies,0032-3217,2,SOC SCI
Research Evaluation,0958-2029,2,SOC SCI
Review of Social Economy,0034-6764,2,SOC SCI
Safety Science,0925-7535,2,SOC SCI
Science and Public Policy,0302-3427,2,SOC SCI
Science and Society,0036-8237,2,SOC SCI
"Science, Technology and Society",0971-7218,2,SOC SCI
Social Networks,0378-8733,2,SOC SCI
Society and Business Review,1746-5680,2,SOC SCI
Technology in Society,0160-791X,2,SOC SCI
Time and Society,0961-463X,2,SOC SCI
Area,0004-0894,1,SOC SCI
Arts and the Market,2056-4945,1,SOC SCI
Asia Europe Journal,1610-2932,1,SOC SCI
China Report,0009-4455,1,SOC SCI
Contemporary Education Dialogue,0973-1849,1,SOC SCI
Environmental Economics,1998-6041,1,SOC SCI
Ethnic and Racial Studies,0141-9870,1,SOC SCI
Evaluation Review,0193-841X,1,SOC SCI
Geographical Journal,0016-7398,1,SOC SCI
Geopolitics under Globalization,2543-5493,1,SOC SCI
"Gosudarstvo, Religiia, Tserkov' v Rossii i za Rubezhom / State, Religion and Church in Russia and Worldwide",2073-7203,1,SOC SCI
"International Journal of Law, Crime and Justice",1756-0616,1,SOC SCI
International Journal of Sociology and Social Policy,0144-333X,1,SOC SCI
International Journal of Tourism Policy,1750-4090,1,SOC SCI
International Migration Review,0197-9183,1,SOC SCI
Journal of Asian Security and International Affairs,2347-7970,1,SOC SCI
Journal of Globalization and Development,2194-6353,1,SOC SCI
Journal of Humanities and Applied Social Sciences,2632-279X,1,SOC SCI
Journal of International Studies,2071-8330 ,1,SOC SCI
Journal of Leadership Studies,1935-2611,1,SOC SCI
Journal of Studies in International Education,1028-3153,1,SOC SCI
Journal of Trust Research,2151-5581,1,SOC SCI
Management of Environmental Quality,1477-7835,1,SOC SCI
Millennial Asia,0976-3996,1,SOC SCI
Négociations,1780-9231,1,SOC SCI
Philosophy of Management,1740-3812,1,SOC SCI
Policy Sciences,0032-2687,1,SOC SCI
Population Studies,0032-4728,1,SOC SCI
Progress in Development Studies,1464-9934,1,SOC SCI
Review of European Studies,1918-7173,1,SOC SCI
Revista Produção e Desenvolvimento,,1,SOC SCI
"She Ji: The Journal of Design, Economics, and Innovation",2405-8726,1,SOC SCI
Studies in Indian Politics,2321-0230,1,SOC SCI
Sustainable Futures,2666-1888,1,SOC SCI
The International Journal of Community and Social Development,2516-6026,1,SOC SCI
Transactions of the Institute of British Geographers,0020-2754,1,SOC SCI
Valuation Studies,2001-5992,1,SOC SCI
Z'GuG Zeitschrift für Gemeinwirtschaft und Gemeinwohl - Journal of Social Economy and Social Welfare,2701-4193,1,SOC SCI
Strategic Management Journal,0143-2095,4*,STRAT
Global Strategy Journal,2042-5791,4,STRAT
Long Range Planning,0024-6301,4,STRAT
Strategic Organization,1476-1270,3,STRAT
Strategy Science,2333-2050,3,STRAT
Advances in Strategic Management,0742-3322,2,STRAT
European Journal of Management and Business Economics,2444-8451,2,STRAT
Journal of Competitiveness,1804-171X,2,STRAT
Journal of Economics and Management Strategy,1058-6407,2,STRAT
Journal of Organization Design,,2,STRAT
Strategic Change,1086-1718,2,STRAT
Technology Analysis and Strategic Management,0953-7325,2,STRAT
Central European Management Journal,2658-0845,1,STRAT
Foresight,1463-6689,1,STRAT
International Journal of Strategic Decision Sciences,1947-8569,1,STRAT
Journal of Advances in Management Research,0972-7981,1,STRAT
Journal of Business Models,,1,STRAT
Journal of Business Strategy,0275-6668,1,STRAT
Journal of Change Management,1469-7017,1,STRAT
Journal of Facilities Management,1472-5967,1,STRAT
Journal of Strategic Contracting and Negotiation,2055-5636,1,STRAT
Journal of Strategy and Management,1755-425X,1,STRAT
M@n@gement,,1,STRAT
Management Review Quarterly,2198-1620,1,STRAT
Negotiation and Conflict Management Research,1750-4708,1,STRAT
Revista Brasileira de Gestão de Negócios,1806-4892,1,STRAT
Strategy and Leadership,1087-8572,1,STRAT
